topology,rows,mean_PR,min_PR,pct_PR_ge_090,pct_PR_ge_095,mean_DB,p95_DB,mean_decision_ms,p95_decision_ms,mean_selected_od,full_od_fallback_rate,k_escalation_rate,gnn_usage_rate,lpd_usage_rate,heuristic_used_rate,flexdate_PR,flexdate_DB,PR_win_or_tie,DB_win_or_tie,WIN_BOTH
abilene,2016,0.9895903650377686,0.49028293074929813,98.75992063492063,95.8829365079365,0.008394745135028194,0.02751842916471528,11.603581455816196,33.9115730002959,50.78373015873016,0.0,0.27132936507936506,1.0,1.0,0.0,0.958,0.0513,True,True,True
cernet,200,0.9950497695846624,0.9774512776109998,100.0,100.0,0.0032078623831547286,0.002422142364429823,199.89314460995956,445.60218689766765,728.0,0.0,0.52,1.0,1.0,0.0,0.975,0.0183,True,True,True
geant,672,0.9980954974845441,0.7843169876542785,99.70238095238095,99.70238095238095,0.004190475098869729,0.008011842535929735,38.93942658186504,103.42650610145937,93.60119047619048,0.0,0.9642857142857143,1.0,1.0,0.0,0.995,0.0296,True,True,True
sprintlink,200,1.0,0.9999999999999992,100.0,100.0,0.004554043041524066,0.0029877359129705156,597.4035768150497,672.860133001086,1600.0,0.0,1.0,1.0,1.0,0.0,0.999,0.051,True,True,True
tiscali,200,0.9589105765859207,0.690264285518214,99.0,81.0,0.010910069213717774,0.014430839889691858,1366.2001676850196,2265.383507998558,1000.0,0.0,1.0,1.0,1.0,0.0,,,,,
ebone,200,0.9998581948908708,0.9884636479938957,100.0,100.0,0.0024980467187184067,0.0065480814955838585,14.585141829847998,15.469937851594294,30.7,0.0,0.035,1.0,1.0,0.0,,,,,
germany50,288,0.9729199407813809,0.2733826758517281,93.75,92.36111111111111,0.013772395562325719,0.02071977007530089,397.7666478576036,479.7698022000986,993.2986111111111,0.0,0.9930555555555556,1.0,1.0,0.0,,,,,
vtlwavenet2011,200,0.9273247285802287,0.9171153333860818,100.0,0.0,0.0013475924963429248,0.0022701665641908578,409.1310395601249,412.4298228933185,200.0,0.0,1.0,1.0,1.0,0.0,,,,,
