topology,n,our_PR,flexdate_PR,PR_win,our_DB,flexdate_DB,DB_win,both_PR_DB_win,mean_ms,p95_ms,dominant_actions
abilene,2016,0.990092,0.958,True,0.008249,0.0513,True,True,13.13,36.93,OPTIMIZE_K30_DB_0.01:1328; OPTIMIZE_K40_DB_0.03:344; OPTIMIZE_K30_DB_0.03:344
cernet,200,0.995303,0.975,True,0.003251,0.0183,True,True,264.93,589.87,KEEP_PREVIOUS_ROUTING:88; OPTIMIZE_K40_DB_0.03:64; OPTIMIZE_K30_DB_0.01:28
geant,672,0.998095,0.995,True,0.00419,0.0296,True,True,48.85,121.06,OPTIMIZE_K30_DB_0.01:368; OPTIMIZE_K30_DB_0.03:300; OPTIMIZE_K40_DB_0.03:4
sprintlink,200,1.0,0.999,True,0.004554,0.051,True,True,1055.68,1831.57,OPTIMIZE_K40_DB_0.03:100; OPTIMIZE_K40_DB_0.01:99; OPTIMIZE_K30_DB_0.03:1
tiscali,200,0.958861,,,0.010971,,,,1593.99,2730.58,OPTIMIZE_K40_DB_0.03:109; OPTIMIZE_K30_DB_0.03:47; OPTIMIZE_K40_DB_0.01:44
ebone,200,0.999858,,,0.002498,,,,16.5,21.05,OPTIMIZE_K30_DB_0.01:200
germany50,288,0.97292,,,0.013772,,,,439.78,551.11,OPTIMIZE_K40_DB_0.01:142; OPTIMIZE_K40_DB_0.03:142; OPTIMIZE_K30_DB_0.03:3
vtlwavenet2011,200,0.927325,,,0.001348,,,,441.54,469.79,OPTIMIZE_K40_DB_0.03:100; OPTIMIZE_K40_DB_0.01:100
