topology,rows,mean_PR,min_PR,pct_PR_ge_090,pct_PR_ge_095,mean_DB,p95_DB,mean_decision_ms,p95_decision_ms,mean_selected_od,full_od_fallback_rate,k_escalation_rate,gnn_usage_rate,lpd_usage_rate,heuristic_used_rate,flexdate_PR,flexdate_DB,PR_win_or_tie,DB_win_or_tie,WIN_BOTH
abilene,2016,0.990091672195501,0.49028293074929813,98.85912698412699,96.32936507936508,0.008249353053067652,0.025946555264498183,13.127500747551883,36.925583248375915,51.423611111111114,0.0,0.27728174603174605,1.0,1.0,0.0,0.958,0.0513,True,True,True
cernet,200,0.9953028884833128,0.9771968459212985,100.0,100.0,0.0032509840635380496,0.002632665149728218,264.9289616349415,589.8744919995805,784.0,0.0,0.56,1.0,1.0,0.0,0.975,0.0183,True,True,True
geant,672,0.9980954974845441,0.7843169876542785,99.70238095238095,99.70238095238095,0.004190475098869729,0.008011842535929735,48.848765127938044,121.0626833024434,93.60119047619048,0.0,0.9642857142857143,1.0,1.0,0.0,0.995,0.0296,True,True,True
sprintlink,200,1.0,0.9999999999999992,100.0,100.0,0.004554043041524066,0.0029877359129705156,1055.6799699697876,1831.5731937516823,1600.0,0.0,1.0,1.0,1.0,0.0,0.999,0.051,True,True,True
tiscali,200,0.9588605166336268,0.690264285518214,99.0,81.0,0.010971266894162994,0.014438770987466223,1593.992337894997,2730.5804107483705,1000.0,0.0,1.0,1.0,1.0,0.0,,,,,
ebone,200,0.9998581948908708,0.9884636479938957,100.0,100.0,0.0024980467187184067,0.0065480814955838585,16.49502813026629,21.051621500009784,30.7,0.0,0.035,1.0,1.0,0.0,,,,,
germany50,288,0.9729199407813809,0.2733826758517281,93.75,92.36111111111111,0.013772395562325719,0.02071977007530089,439.77699279884695,551.1092687491326,993.2986111111111,0.0,0.9930555555555556,1.0,1.0,0.0,,,,,
vtlwavenet2011,200,0.9273247285802287,0.9171153333860818,100.0,0.0,0.0013475924963429248,0.0022701665641908578,441.5388414752306,469.7898604514193,200.0,0.0,1.0,1.0,1.0,0.0,,,,,
