topology,n,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,full_od_fallback_cycles,selected_k_cycles,full_od_mean_ms,selected_k_mean_ms
abilene,2016,7.224,7.118,7.664,7.828,8.294,265.478,0,2016,0.0,7.224
cernet,200,87.248,87.075,89.322,90.445,155.724,318.893,0,200,0.0,87.248
ebone,200,15.362,15.036,16.014,16.94,23.53,32.854,0,200,0.0,15.362
geant,672,45.463,50.959,52.705,53.739,101.747,292.601,0,672,0.0,45.463
germany50,288,88.182,88.344,99.316,101.481,225.038,299.115,0,288,0.0,88.182
sprintlink,200,92.72,78.129,112.204,113.959,271.514,319.355,0,200,0.0,92.72
tiscali,200,120.071,125.102,127.872,130.133,328.303,369.638,0,200,0.0,120.071
vtlwavenet2011,200,344.34,341.506,350.366,351.745,420.731,549.05,0,200,0.0,344.34
